@relation TESTDATA

@attribute Gender numeric
@attribute Mstatus numeric
@attribute Level numeric
@attribute TypeSec numeric
@attribute LocSec numeric
@attribute NoCred numeric
@attribute JAMB numeric
@attribute AgeAdm numeric
@attribute TimeHome numeric
@attribute Dream numeric
@attribute XtraClass numeric
@attribute HrPstudy numeric
@attribute TimeStudy numeric
@attribute HangFriends numeric
@attribute Assimi numeric
@attribute Textbooks numeric
@attribute WhenText numeric
@attribute socialmedia numeric
@attribute connect2social numeric
@attribute Fqua numeric
@attribute Mqual numeric
@attribute Fstatus numeric
@attribute CLASS numeric

@data
1,1,2,1,1,7,1,2,2,1,2,2,4,2,2,1,2,1,2,8,8,2,2.98
1,1,4,2,2,6,2,3,2,2,1,2,4,1,1,1,2,1,1,6,7,2,2.87
1,1,1,2,1,9,3,3,1,1,2,1,3,1,1,1,2,1,1,4,6,2,3.48
2,1,1,2,2,5,3,1,1,1,1,1,1,2,1,1,2,1,2,4,4,2,2.88
1,1,3,1,2,8,2,2,2,1,1,1,4,1,1,1,2,1,2,5,6,2,3.57
1,1,4,2,1,7,2,2,3,2,2,2,3,1,1,1,2,1,2,6,7,2,3.68
1,1,2,1,1,7,1,2,2,1,2,2,4,2,2,1,2,1,2,8,8,2,3.26
1,2,2,2,1,5,2,2,3,1,2,1,3,2,2,1,2,1,2,7,7,2,2.95
2,1,2,1,1,8,3,2,2,1,1,2,1,1,1,1,1,1,2,6,6,2,3.22
1,1,4,1,2,9,1,2,3,1,1,2,3,1,1,1,2,1,1,6,6,2,3.5
2,1,4,2,1,8,1,1,1,1,1,2,4,1,1,1,2,1,1,2,5,2,2.77
1,1,5,1,2,7,1,2,1,2,2,2,1,1,1,1,2,1,1,2,5,2,3.15
1,1,1,1,2,7,3,3,3,1,1,2,1,1,1,1,2,2,2,6,8,2,2.45
1,1,1,1,1,5,1,2,3,1,1,1,1,1,1,1,2,1,1,6,6,2,2.49
1,1,1,2,1,8,2,2,3,1,1,2,4,2,1,1,2,1,2,6,8,2,2.99
1,1,3,1,2,9,2,2,2,2,2,1,4,1,2,1,2,1,1,4,5,2,3.12
1,1,2,1,2,8,1,2,2,1,2,1,4,2,1,1,1,1,1,5,4,2,2.87
1,1,5,1,2,9,2,3,1,1,1,2,3,1,1,1,1,1,2,7,8,2,3.5
2,1,4,2,1,8,2,1,1,2,1,1,1,1,1,1,1,1,2,6,6,2,3
1,1,2,1,2,5,2,2,3,2,2,2,4,1,2,1,2,1,1,5,6,2,2.88
1,1,2,2,2,9,3,2,2,1,2,1,3,1,1,1,2,1,1,6,7,1,2.65
1,1,5,2,2,9,2,2,1,1,1,2,4,1,1,1,2,1,1,4,8,2,2.56
2,1,5,1,2,5,2,2,3,1,2,1,4,2,1,1,1,1,1,4,4,2,2.8
1,1,3,2,2,7,1,2,1,1,2,1,4,2,1,1,2,1,1,6,7,2,2.99
1,2,5,1,1,8,1,2,2,2,1,1,4,1,1,1,3,1,1,8,8,2,3.12
1,1,3,1,2,8,2,2,2,1,1,1,4,1,1,1,2,1,2,5,6,2,2.84
1,1,4,2,1,7,2,2,3,2,2,2,3,1,1,1,2,1,2,6,7,2,2.98
1,1,2,1,1,7,1,2,2,1,2,2,4,2,2,1,2,1,2,8,8,2,2.87
1,2,2,2,1,5,2,2,3,1,2,1,3,2,2,1,2,1,2,7,7,2,3.48
2,1,2,1,1,8,3,2,2,1,1,2,1,1,1,1,1,1,2,6,6,2,2.88
